time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-29 00:00:00+00:00,4,3,105,7
2023-08-30 00:00:00+00:00,3,2,24,3
2023-08-31 00:00:00+00:00,3,2,27,7
2023-09-01 00:00:00+00:00,6,4,83,10
2023-09-02 00:00:00+00:00,3,2,71,8
2023-09-03 00:00:00+00:00,3,2,167,13
2023-09-04 00:00:00+00:00,4,3,104,11
2023-09-05 00:00:00+00:00,5,4,105,10
2023-09-06 00:00:00+00:00,7,5,177,15
2023-09-07 00:00:00+00:00,6,4,59,8
2023-09-08 00:00:00+00:00,6,4,367,18
2023-09-09 00:00:00+00:00,4,3,444,14
2023-09-10 00:00:00+00:00,6,4,156,14
2023-09-11 00:00:00+00:00,4,3,178,15
2023-09-12 00:00:00+00:00,8,7,135,12
2023-09-13 00:00:00+00:00,8,4,233,14
2023-09-14 00:00:00+00:00,6,3,123,8
2023-09-15 00:00:00+00:00,5,4,74,8
2023-09-16 00:00:00+00:00,4,3,182,11
2023-09-17 00:00:00+00:00,3,2,95,12
2023-09-18 00:00:00+00:00,4,3,246,14
2023-09-19 00:00:00+00:00,4,4,287,14
2023-09-20 00:00:00+00:00,1,1,147,9
2023-09-21 00:00:00+00:00,1,1,27,6
2023-09-22 00:00:00+00:00,2,2,211,9
2023-09-23 00:00:00+00:00,7,3,152,9
2023-09-24 00:00:00+00:00,1,1,144,11
2023-09-25 00:00:00+00:00,4,3,264,16
2023-09-26 00:00:00+00:00,1,1,18,5
2023-09-27 00:00:00+00:00,2,2,55,8
2023-09-28 00:00:00+00:00,2,2,148,12
2023-09-29 00:00:00+00:00,2,2,93,8
2023-09-30 00:00:00+00:00,2,2,372,9
2023-10-01 00:00:00+00:00,1,1,149,8
2023-10-02 00:00:00+00:00,3,3,14,4
2023-10-03 00:00:00+00:00,1,1,72,8
2023-10-04 00:00:00+00:00,2,2,119,9
2023-10-05 00:00:00+00:00,2,2,49,8
2023-10-06 00:00:00+00:00,5,3,59,6
2023-10-07 00:00:00+00:00,1,1,211,8
2023-10-08 00:00:00+00:00,2,2,276,11
2023-10-09 00:00:00+00:00,3,3,28,3
2023-10-10 00:00:00+00:00,4,3,62,5
2023-10-11 00:00:00+00:00,1,1,100,12
2023-10-12 00:00:00+00:00,3,3,67,12
2023-10-13 00:00:00+00:00,1,1,176,14
